window,buy_and_hold_return,strategy_return,alpha,buy_and_hold_prob,strategy_prob,alpha_prob
142,0.9801182909240383,1.6630044409951759,1.872055511577404,0.38682899833978973,0.7410071942446043,0.8871057000553404
143,0.9793643588392396,1.6699622460593655,1.8807286726995933,0.38981173864894797,0.7419712070874862,0.8875968992248062
144,0.9785335439454125,1.6769069282732547,1.889445956057618,0.3861495844875346,0.7429362880886426,0.8908587257617728
145,0.9776521585032676,1.6839251498305292,1.8981612850124063,0.3885809312638581,0.7450110864745011,0.8907982261640798
146,0.9767709908836764,1.6909213987804872,1.9069972189077329,0.3882418191902385,0.747642817526345,0.894065446478092
147,0.9759155833178671,1.69796781383465,1.91589959709245,0.390677025527192,0.7486126526082131,0.8951165371809101
148,0.9750980394368566,1.7050222747379697,1.9249389159721328,0.3903387007218212,0.7495835646862854,0.8989450305385897
149,0.974322651538773,1.7120697213478622,1.9341572913207674,0.39111111111111113,0.7505555555555555,0.9
150,0.9735478820072541,1.719220111790584,1.943215079469864,0.3952195664257921,0.7509727626459144,0.9016120066703724
151,0.9729191179954206,1.7263864078666027,1.9523833908119372,0.39154616240266965,0.7519466073414905,0.9032258064516129
152,0.9721614915822332,1.7335959121642592,1.9616175786622392,0.39065108514190316,0.7529215358931552,0.9048414023372288
153,0.9713451336478903,1.7408175427071302,1.9707272579505095,0.3914253897550111,0.7538975501113586,0.905902004454343
154,0.9704777591862724,1.7480855744635035,1.9798565679334295,0.3838440111420613,0.754874651810585,0.9114206128133705
155,0.9694084690409542,1.7554443144413139,1.989182108058094,0.3835005574136009,0.7558528428093646,0.9108138238573021
156,0.9683704972380573,1.7628084708334995,1.9986113140036867,0.3786949247071946,0.7568321249302844,0.913552704963748
157,0.9673028918536163,1.7701640984296958,2.008188814438895,0.3861607142857143,0.7583705357142857,0.9123883928571429
158,0.9661641287989676,1.7775446888718376,2.0178516378228513,0.3813512004466778,0.7587939698492462,0.9117811278615299
159,0.9649862149956289,1.7850367536274492,2.0274465083766278,0.3782122905027933,0.759217877094972,0.9156424581005587
160,0.9638940399754594,1.792460796835522,2.0372345257319076,0.37339295695919505,0.7602012297372834,0.917831190609279
161,0.9627132569207112,1.7999260993423407,2.0472384711768505,0.37080536912751677,0.7611856823266219,0.9200223713646533
162,0.9615451659242422,1.8074790467540804,2.05712724703903,0.3698936765528819,0.7621712367095691,0.9205372132064913
163,0.9604028893286898,1.8150501065447353,2.0670100516245644,0.3723404255319149,0.7631578947368421,0.9171332586786114
164,0.9593043726449222,1.8226198177691524,2.076904425647363,0.36918767507002803,0.7641456582633053,0.9198879551820728
165,0.9580776961764369,1.8302217346369756,2.0866264400029184,0.3660313901345291,0.7651345291479821,0.92152466367713
166,0.9569366268378073,1.8377948103113544,2.0964543514161327,0.36848008973639934,0.7666853617498598,0.9197980931015143
167,0.9557811079534612,1.845459973389657,2.106343508324706,0.36980920314253646,0.7676767676767676,0.9208754208754208
168,0.9546205084898156,1.853085513878511,2.1163532799328575,0.36777091521617067,0.7686692869174621,0.9208309938236946
169,0.9534065353568941,1.8608621124250027,2.1265180794334473,0.3651685393258427,0.7696629213483146,0.9241573033707865
170,0.9522734438573576,1.868685142650292,2.1367996943455227,0.36537380550871273,0.7706576728499157,0.9263631253513209
171,0.9510773072556236,1.8765478421759747,2.146960154382375,0.3655793025871766,0.7716535433070866,0.9291338582677166
172,0.9498558106933661,1.8845040872755288,2.1568731357067517,0.35959482273494653,0.7726505346088914,0.9302194710185706
173,0.9487045564471914,1.8925515448938306,2.166923399251163,0.3552927927927928,0.7736486486486487,0.9318693693693694
174,0.9475059518229797,1.9006349777168174,2.1769266100559324,0.3532394366197183,0.7746478873239436,0.931830985915493
175,0.9462670441841805,1.9087338375834737,2.1869418965038236,0.3551296505073281,0.7756482525366404,0.9323562570462233
176,0.9450429912130568,1.9167811418914753,2.196974633052393,0.3491257755217146,0.7766497461928934,0.9351381838691484
177,0.9439070184596328,1.9248915656317678,2.2072013454749553,0.3515801354401806,0.7776523702031602,0.9384875846501128
178,0.9427507334922717,1.932994347550154,2.2173142638616925,0.35629587803500845,0.7786561264822134,0.9384528514963297
179,0.9415574082499165,1.9410693138231077,2.22766190489835,0.36214689265536726,0.7796610169491526,0.9350282485875706
180,0.9403069847525386,1.9491895949319789,2.2379825950531314,0.3578292820802713,0.7806670435274167,0.9372526851328434
